"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US53011040904","Census Tract 409.04; Clark County; Washington","489900","40184",
"1400000US53011040905","Census Tract 409.05; Clark County; Washington","729300","60450",
"1400000US53011040907","Census Tract 409.07; Clark County; Washington","687100","25552",
"1400000US53011040908","Census Tract 409.08; Clark County; Washington","567100","32475",
"1400000US53011040909","Census Tract 409.09; Clark County; Washington","471800","47386",
"1400000US53011040910","Census Tract 409.10; Clark County; Washington","531400","41175",
"1400000US53011041003","Census Tract 410.03; Clark County; Washington","451700","30493",
"1400000US53011041005","Census Tract 410.05; Clark County; Washington","300300","74555",
"1400000US53011041007","Census Tract 410.07; Clark County; Washington","454800","24909",
"1400000US53011041008","Census Tract 410.08; Clark County; Washington","580400","34962",
"1400000US53011041009","Census Tract 410.09; Clark County; Washington","418600","19127",
"1400000US53011041010","Census Tract 410.10; Clark County; Washington","429600","42540",
"1400000US53011041011","Census Tract 410.11; Clark County; Washington","448600","19141",
"1400000US53011041104","Census Tract 411.04; Clark County; Washington","395000","39762",
"1400000US53011041105","Census Tract 411.05; Clark County; Washington","433300","20690",
"1400000US53011041107","Census Tract 411.07; Clark County; Washington","449200","27776",
"1400000US53011041110","Census Tract 411.10; Clark County; Washington","436600","15029",
"1400000US53011041111","Census Tract 411.11; Clark County; Washington","337900","37070",
"1400000US53011041112","Census Tract 411.12; Clark County; Washington","383100","29102",
"1400000US53011041113","Census Tract 411.13; Clark County; Washington","342100","21553",
"1400000US53011041114","Census Tract 411.14; Clark County; Washington","356200","31945",
"1400000US53011041203","Census Tract 412.03; Clark County; Washington","390000","22456",
"1400000US53011041205","Census Tract 412.05; Clark County; Washington","391100","42226",
"1400000US53011041206","Census Tract 412.06; Clark County; Washington","400300","35036",
"1400000US53011041207","Census Tract 412.07; Clark County; Washington","416100","33375",
"1400000US53011041208","Census Tract 412.08; Clark County; Washington","590700","43630",
"1400000US53011041309","Census Tract 413.09; Clark County; Washington","549100","37999",
"1400000US53011041310","Census Tract 413.10; Clark County; Washington","614000","28500",
"1400000US53011041312","Census Tract 413.12; Clark County; Washington","243800","96500",
"1400000US53011041313","Census Tract 413.13; Clark County; Washington","306100","51396",
"1400000US53011041317","Census Tract 413.17; Clark County; Washington","391700","29979",
"1400000US53011041319","Census Tract 413.19; Clark County; Washington","565300","40122",
"1400000US53011041320","Census Tract 413.20; Clark County; Washington","422800","38044",
"1400000US53011041321","Census Tract 413.21; Clark County; Washington","435900","31196",
"1400000US53011041322","Census Tract 413.22; Clark County; Washington","416200","37714",
"1400000US53011041323","Census Tract 413.23; Clark County; Washington","435400","42322",
"1400000US53011041325","Census Tract 413.25; Clark County; Washington","571100","45752",
"1400000US53011041326","Census Tract 413.26; Clark County; Washington","396800","22756",
"1400000US53011041328","Census Tract 413.28; Clark County; Washington","487400","24194",
"1400000US53011041329","Census Tract 413.29; Clark County; Washington","471400","19002",
"1400000US53011041330","Census Tract 413.30; Clark County; Washington","429900","13298",
"1400000US53011041331","Census Tract 413.31; Clark County; Washington","379800","18790",
"1400000US53011041332","Census Tract 413.32; Clark County; Washington","434100","22004",
"1400000US53011041333","Census Tract 413.33; Clark County; Washington","425300","16470",
"1400000US53011041334","Census Tract 413.34; Clark County; Washington","510700","77574",
"1400000US53011041335","Census Tract 413.35; Clark County; Washington","518300","44374",
"1400000US53011041336","Census Tract 413.36; Clark County; Washington","325600","49133",
"1400000US53011041337","Census Tract 413.37; Clark County; Washington","407600","36577",
"1400000US53011041400","Census Tract 414; Clark County; Washington","538000","69819",
"1400000US53011041500","Census Tract 415; Clark County; Washington","513000","78626",
"1400000US53011041600","Census Tract 416; Clark County; Washington","382200","77809",
"1400000US53011041700","Census Tract 417; Clark County; Washington","381100","43684",
"1400000US53011041800","Census Tract 418; Clark County; Washington","351100","37459",
"1400000US53011041900","Census Tract 419; Clark County; Washington","466700","24793",
"1400000US53011042000","Census Tract 420; Clark County; Washington","469700","25770",
"1400000US53011042100","Census Tract 421; Clark County; Washington","471500","36906",
"1400000US53011042300","Census Tract 423; Clark County; Washington","469800","43652",
"1400000US53011042400","Census Tract 424; Clark County; Washington","299400","160497",
"1400000US53011042500","Census Tract 425; Clark County; Washington","555600","59080",
"1400000US53011042601","Census Tract 426.01; Clark County; Washington","391900","36438",
